id1,id2,weight
0,1,1
0,7,1
1,0,1
1,2,1
1,8,1
2,1,1
2,3,1
2,9,1
3,2,1
3,4,1
3,10,1
4,3,1
4,5,1
4,11,1
5,4,1
5,6,1
5,12,1
6,5,1
6,13,1
7,0,1
7,8,1
7,14,1
8,1,1
8,7,1
8,9,1
8,15,1
9,2,1
9,8,1
9,10,1
9,16,1
10,3,1
10,9,1
10,11,1
10,17,1
11,4,1
11,10,1
11,12,1
11,18,1
12,5,1
12,11,1
12,13,1
12,19,1
13,6,1
13,12,1
13,20,1
14,7,1
14,15,1
14,21,1
15,8,1
15,14,1
15,16,1
15,22,1
16,9,1
16,15,1
16,17,1
16,23,1
17,10,1
17,16,1
17,18,1
17,24,1
18,11,1
18,17,1
18,19,1
18,25,1
19,12,1
19,18,1
19,20,1
19,26,1
20,13,1
20,19,1
20,27,1
21,14,1
21,22,1
21,28,1
22,15,1
22,21,1
22,23,1
22,29,1
23,16,1
23,22,1
23,24,1
23,30,1
24,17,1
24,23,1
24,25,1
24,31,1
25,18,1
25,24,1
25,26,1
25,32,1
26,19,1
26,25,1
26,27,1
26,33,1
27,20,1
27,26,1
27,34,1
28,21,1
28,29,1
28,35,1
29,22,1
29,28,1
29,30,1
29,36,1
30,23,1
30,29,1
30,31,1
30,37,1
31,24,1
31,30,1
31,32,1
31,38,1
32,25,1
32,31,1
32,33,1
32,39,1
33,26,1
33,32,1
33,34,1
33,40,1
34,27,1
34,33,1
34,41,1
35,28,1
35,36,1
35,42,1
36,29,1
36,35,1
36,37,1
36,43,1
37,30,1
37,36,1
37,38,1
37,44,1
38,31,1
38,37,1
38,39,1
38,45,1
39,32,1
39,38,1
39,40,1
39,46,1
40,33,1
40,39,1
40,41,1
40,47,1
41,34,1
41,40,1
41,48,1
42,35,1
42,43,1
43,36,1
43,42,1
43,44,1
44,37,1
44,43,1
44,45,1
45,38,1
45,44,1
45,46,1
46,39,1
46,45,1
46,47,1
47,40,1
47,46,1
47,48,1
48,41,1
48,47,1
